Designator,Mid X,Mid Y,Rotation,Layer
D1,34.44,-34.605,90.0,bottom
D10,53.44,-72.605,90.0,bottom
D11,72.44,-72.605,90.0,bottom
D12,91.44,-72.605,90.0,bottom
D2,53.44,-34.605,90.0,bottom
D3,72.44,-34.605,90.0,bottom
D4,91.44,-34.605,90.0,bottom
D5,34.44,-53.605,90.0,bottom
D6,53.44,-53.605,90.0,bottom
D7,72.44,-53.605,90.0,bottom
D8,91.44,-53.605,90.0,bottom
D9,34.44,-72.605,90.0,bottom
S1,31.115,-30.48,0.0,top
S10,50.165,-68.58,0.0,top
S11,69.215,-68.58,0.0,top
S12,88.265,-68.58,0.0,top
S2,50.165,-30.48,0.0,top
S3,69.215,-30.48,0.0,top
S4,88.265,-30.48,0.0,top
S5,31.115,-49.53,0.0,top
S6,50.165,-49.53,0.0,top
S7,69.215,-49.53,0.0,top
S8,88.265,-49.53,0.0,top
S9,31.115,-68.58,0.0,top
